Release,Transaction Name,Start Date,Started,Page Title,Page ID,Device Name,User Name,Time,Sent,Received,Method,Result,Type,URL,Render Start,DOM Load,HTTP Load,Page Load,Network,Cache Read
colline15.0.0,open page,12/15/2016,,Login,1,SHA-LRI-PC-155,jeff yang,0.475,2211,3139,,,,,,,0.475,,,
colline15.0.0,open page,12/15/2016,13:18.4,,1,SHA-LRI-PC-155,jeff yang,0.302,317,2017,GET,200,html,http://54.183.138.41:8080/colline/,,,,,0.297,
colline15.0.0,open page,12/15/2016,13:18.7,,1,SHA-LRI-PC-155,jeff yang,0.142,448,281,GET,304,css,http://54.183.138.41:8080/colline/common/styles/content.css,,,,,0.14,0.001
colline15.0.0,open page,12/15/2016,13:18.7,,1,SHA-LRI-PC-155,jeff yang,0.141,475,281,GET,304,javascript,http://54.183.138.41:8080/colline/common/script/browserVer.js,,,,,0.141,< 0.001
colline15.0.0,open page,12/15/2016,13:18.7,,1,SHA-LRI-PC-155,jeff yang,0.154,485,281,GET,304,,http://54.183.138.41:8080/colline/img/app/dyn_logo.img,,,,,0.143,0.011
colline15.0.0,open page,12/15/2016,13:18.7,,1,SHA-LRI-PC-155,jeff yang,0.154,486,279,GET,304,gif,http://54.183.138.41:8080/colline/img/spl/firmtechlog.gif,,,,,0.143,0.011
colline15.0.0,open page,12/15/2016,,Login,2,SHA-LRI-PC-155,jeff yang,0.456,5560,6578,,,,,,0.462,0.456,0.477,,
colline15.0.0,open page,12/15/2016,13:18.9,,2,SHA-LRI-PC-155,jeff yang,0.15,407,3775,GET,200,html,http://54.183.138.41:8080/colline/index.do?j_winname=colline507811764449754600a,,,,,0.149,
colline15.0.0,open page,12/15/2016,13:19.0,,2,SHA-LRI-PC-155,jeff yang,0.148,518,282,GET,304,javascript,http://54.183.138.41:8080/colline/lrsux/lrsux/lrsux.min.js,,,,,0.145,0.002
colline15.0.0,open page,12/15/2016,13:19.0,,2,SHA-LRI-PC-155,jeff yang,0.149,499,281,GET,304,css,http://54.183.138.41:8080/colline/lrsux/lrsux-ui/lrsux-ui.min.css,,,,,0.147,0.001
colline15.0.0,open page,12/15/2016,13:19.0,,2,SHA-LRI-PC-155,jeff yang,0.143,524,282,GET,304,javascript,http://54.183.138.41:8080/colline/lrsux/lrsux-ui/lrsux-ui.min.js,,,,,0.141,0.001
colline15.0.0,open page,12/15/2016,13:19.0,,2,SHA-LRI-PC-155,jeff yang,0.142,493,281,GET,304,css,http://54.183.138.41:8080/colline/common/styles/content.css,,,,,0.14,0.001
colline15.0.0,open page,12/15/2016,13:19.0,,2,SHA-LRI-PC-155,jeff yang,0.288,496,279,GET,304,css,http://54.183.138.41:8080/colline/common/styles/standardMode.css,,,,,0.145,0.001
colline15.0.0,open page,12/15/2016,13:19.0,,2,SHA-LRI-PC-155,jeff yang,0.288,520,281,GET,304,javascript,http://54.183.138.41:8080/colline/common/script/browserVer.js,,,,,0.145,0.002
colline15.0.0,open page,12/15/2016,13:19.0,,2,SHA-LRI-PC-155,jeff yang,0.292,530,281,GET,304,,http://54.183.138.41:8080/colline/img/app/dyn_logo.img,,,,,0.144,0.005
colline15.0.0,open page,12/15/2016,13:19.0,,2,SHA-LRI-PC-155,jeff yang,0.293,526,279,GET,304,gif,http://54.183.138.41:8080/colline/img/log/untext.gif,,,,,0.287,0.006
colline15.0.0,open page,12/15/2016,13:19.0,,2,SHA-LRI-PC-155,jeff yang,0.296,526,279,GET,304,gif,http://54.183.138.41:8080/colline/img/log/pwtext.gif,,,,,0.287,0.009
colline15.0.0,open page,12/15/2016,13:19.0,,2,SHA-LRI-PC-155,jeff yang,0.289,521,278,GET,304,gif,http://54.183.138.41:8080/colline/img/spacer.gif,,,,,0.142,0.003
