Started,Page Title,Page ID,Device Name,User Name,Time,Sent,Received,Method,Result,Type,URL,Render Start,DOM Load,HTTP Load,Page Load,Network,Cache Read
,Login,1,SHA-LRI-PC-155,jeff yang,0.476,2211,3139,,,,,,,0.476,,,
2016-12-15 16:20:34.915000,,1,SHA-LRI-PC-155,jeff yang,0.303,317,2017,GET,200,html,http://54.183.138.41:8080/colline/,,,,,0.297,
2016-12-15 16:20:35.237000,,1,SHA-LRI-PC-155,jeff yang,0.142,448,281,GET,304,css,http://54.183.138.41:8080/colline/common/styles/content.css,,,,,0.140,0.001
2016-12-15 16:20:35.238000,,1,SHA-LRI-PC-155,jeff yang,0.142,475,281,GET,304,javascript,http://54.183.138.41:8080/colline/common/script/browserVer.js,,,,,0.142,< 0.001
2016-12-15 16:20:35.239000,,1,SHA-LRI-PC-155,jeff yang,0.152,485,281,GET,304,,http://54.183.138.41:8080/colline/img/app/dyn_logo.img,,,,,0.143,0.009
2016-12-15 16:20:35.239000,,1,SHA-LRI-PC-155,jeff yang,0.152,486,279,GET,304,gif,http://54.183.138.41:8080/colline/img/spl/firmtechlog.gif,,,,,0.151,0.001
,Login,2,SHA-LRI-PC-155,jeff yang,0.503,5560,6578,,,,,0.001,0.490,0.503,0.527,,
2016-12-15 16:20:35.390000,,2,SHA-LRI-PC-155,jeff yang,0.152,407,3775,GET,200,html,http://54.183.138.41:8080/colline/index.do?j_winname=colline791274594013059000a,,,,,0.151,
2016-12-15 16:20:35.576000,,2,SHA-LRI-PC-155,jeff yang,0.148,518,282,GET,304,javascript,http://54.183.138.41:8080/colline/lrsux/lrsux/lrsux.min.js,,,,,0.145,0.002
2016-12-15 16:20:35.577000,,2,SHA-LRI-PC-155,jeff yang,0.158,499,281,GET,304,css,http://54.183.138.41:8080/colline/lrsux/lrsux-ui/lrsux-ui.min.css,,,,,0.156,0.001
2016-12-15 16:20:35.577000,,2,SHA-LRI-PC-155,jeff yang,0.147,524,282,GET,304,javascript,http://54.183.138.41:8080/colline/lrsux/lrsux-ui/lrsux-ui.min.js,,,,,0.144,0.002
2016-12-15 16:20:35.578000,,2,SHA-LRI-PC-155,jeff yang,0.144,493,281,GET,304,css,http://54.183.138.41:8080/colline/common/styles/content.css,,,,,0.142,0.001
2016-12-15 16:20:35.578000,,2,SHA-LRI-PC-155,jeff yang,0.289,496,279,GET,304,css,http://54.183.138.41:8080/colline/common/styles/standardMode.css,,,,,0.143,0.001
2016-12-15 16:20:35.579000,,2,SHA-LRI-PC-155,jeff yang,0.291,520,281,GET,304,javascript,http://54.183.138.41:8080/colline/common/script/browserVer.js,,,,,0.290,0.001
2016-12-15 16:20:35.579000,,2,SHA-LRI-PC-155,jeff yang,0.294,530,281,GET,304,,http://54.183.138.41:8080/colline/img/app/dyn_logo.img,,,,,0.144,0.004
2016-12-15 16:20:35.579000,,2,SHA-LRI-PC-155,jeff yang,0.295,526,279,GET,304,gif,http://54.183.138.41:8080/colline/img/log/untext.gif,,,,,0.146,0.004
2016-12-15 16:20:35.580000,,2,SHA-LRI-PC-155,jeff yang,0.313,526,279,GET,304,gif,http://54.183.138.41:8080/colline/img/log/pwtext.gif,,,,,0.309,0.004
2016-12-15 16:20:35.580000,,2,SHA-LRI-PC-155,jeff yang,0.311,521,278,GET,304,gif,http://54.183.138.41:8080/colline/img/spacer.gif,,,,,0.153,0.002
